,Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
0,Cellar,Base,Action,,"+1 Action Discard any number of cards, then draw that many.",+1,"-X,+X",,,,,,,
1,Chapel,Base,Action,,Trash up to 4 cards from your hand.,,,,,0-4,,,,
2,Moat,Base,Action - Reaction,,"+2 CardsWhen another player plays an Attack card, you may first reveal this from your hand, to be unaffected by it.",,+2,,,,,,,
3,Chancellor,"Base, 1E",Action,,+ You may immediately put your deck into your discard pile.,,,,+,,,,,
4,Harbinger,"Base, 2E",Action,,+1 Card +1 Action Look through your discard pile. You may put a card from it onto your deck.,+1,+1,,,,,,,
5,Merchant,"Base, 2E",Action,,"+1 Card +1 Action The first time you play a Silver this turn, +.",+1,+1,,+?,,,,,
6,Vassal,"Base, 2E",Action,,"+ Discard the top card of your deck. If it's an Action card, you may play it.",,,,+,,,,,
7,Village,Base,Action,,+1 Card +2 Actions,+2,+1,,,,,,,
8,Woodcutter,"Base, 1E",Action,,+1 Buy +,,,+1,+,,,,,
9,Workshop,Base,Action,,Gain a card costing up to .,,,,,,,,1,
10,Bureaucrat,Base,Action - Attack,,Gain a Silver onto your deck. Each other player reveals a Victory card from their hand and puts it onto their deck (or reveals a hand with no Victory cards).,,,,,,,,1,
11,Feast,"Base, 1E",Action,,Trash this card. Gain a card costing up to .,,,,,Self,,,1,
12,Gardens,Base,Victory,,Worth 1 per 10 cards you have (round down).,,,,,,,,,X
13,Militia,Base,Action - Attack,,+ Each other player discards down to 3 cards in hand.,,,,+,,,,,
14,Moneylender,Base,Action,,You may trash a Copper from your hand for +.,,,,+?,1?,,,,
15,Poacher,"Base, 2E",Action,,+1 Card +1 Action + Discard a card per empty Supply pile.,+1,"+1,-X",,+,,,,,
16,Remodel,Base,Action,,Trash a card from your hand. Gain a card costing up to more than it.,,,,,1,,,1,
17,Smithy,Base,Action,,+3 Cards,,+3,,,,,,,
18,Spy,"Base, 1E",Action - Attack,,"+1 Card +1 Action Each player (including you) reveals the top card of his deck and either discards it or puts it back, your choice.",+1,+1,,,,,,,
19,Thief,"Base, 1E",Action - Attack,,"Each other player reveals the top 2 cards of his deck. If they revealed any Treasure cards, they trash one of them that you choose. You may gain any or all of these trashed cards. They discard the other revealed cards.",,,,,,,,X,
20,Throne Room,Base,Action,,You may play an Action card from your hand twice.,P2,,,,,,,,
21,Bandit,"Base, 2E",Action - Attack,,"Gain a Gold. Each other player reveals the top 2 cards of their deck, trashes a revealed Treasure other than Copper, and discards the rest.",,,,,,,,1,
22,Council Room,Base,Action,,+4 Cards +1 Buy Each other player draws a card.,,+4,+1,,,,,,
23,Festival,Base,Action,,+2 Actions +1 Buy +,+2,,+1,+,,,,,
24,Laboratory,Base,Action,,+2 Cards +1 Action,+1,+2,,,,,,,
25,Library,Base,Action,,"Draw until you have 7 cards in hand, skipping any Action cards you choose to; set those aside, discarding them afterwards.",,+X?,,,,,,,
26,Market,Base,Action,,+1 Card +1 Action +1 Buy +,+1,+1,+1,+,,,,,
27,Mine,Base,Action,,You may trash a Treasure card from your hand. Gain a Treasure card to your hand costing up to more than it.,,,,,1?,,,1,
28,Sentry,"Base, 2E",Action,,+1 Card +1 Action Look at the top 2 cards of your deck. Trash and/or discard any number of them. Put the rest back on top in any order.,+1,+1,,,0-2,,,,
29,Witch,Base,Action - Attack,,+2 Cards Each other player gains a Curse.,,+2,,,,,1,,
30,Adventurer,"Base, 1E",Action,,Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards into your hand and discard the other revealed cards.,,+2,,,,,,,
31,Artisan,"Base, 2E",Action,,Gain a card to your hand costing up to . Put a card from your hand onto your deck.,,,,,,,,1,
32,Copper,Base,Treasure,,,,,,+,,,,,
33,Silver,Base,Treasure,,,,,,+,,,,,
34,Gold,Base,Treasure,,,,,,+,,,,,
35,Estate,Base,Victory,,1,,,,,,,,,1
36,Duchy,Base,Victory,,3,,,,,,,,,3
37,Province,Base,Victory,,6,,,,,,,,,6
38,Curse,Base,Curse,,-1,,,,,,,,,-1
39,Courtyard,Intrigue,Action,,+3 Cards Put a card from your hand onto your deck.,,"+3,-1",,,,,,,
